Date,Open,High,Low,Close,Volume,Adj Close
2017-04-28,20987.390625,20987.759766,20926.75,20940.509766,329990000,20940.509766
2017-04-27,20991.119141,21005.800781,20935.800781,20981.330078,305690000,20981.330078
2017-04-26,21009.949219,21070.900391,20972.269531,20975.089844,328550000,20975.089844
2017-04-25,20915.509766,21026.970703,20909.380859,20996.119141,348180000,20996.119141
2017-04-24,20723.589844,20792.199219,20723.589844,20763.890625,342400000,20763.890625
2017-04-21,20578.099609,20601.400391,20505.330078,20547.759766,369600000,20547.759766
2017-04-20,20406.679688,20629.779297,20406.679688,20578.710938,312440000,20578.710938
2017-04-19,20503.519531,20546.689453,20379.550781,20404.490234,294790000,20404.490234
2017-04-18,20561.390625,20600.119141,20462.279297,20523.279297,263180000,20523.279297
2017-04-17,20484.75,20644.410156,20484.75,20636.919922,229240000,20636.919922
2017-04-13,20561.689453,20612.269531,20453.25,20453.25,235810000,20453.25
2017-04-12,20637.949219,20642.539062,20553.029297,20591.859375,267670000,20591.859375
2017-04-11,20644.320312,20660.029297,20512.560547,20651.300781,255120000,20651.300781
2017-04-10,20668.220703,20750.330078,20614.859375,20658.019531,230480000,20658.019531
2017-04-07,20647.810547,20726.070312,20606.949219,20656.099609,219730000,20656.099609
2017-04-06,20653.769531,20746.460938,20612.169922,20662.949219,251720000,20662.949219
2017-04-05,20745.060547,20887.50,20639.550781,20648.150391,284980000,20648.150391
2017-04-04,20634.939453,20701.289062,20605.300781,20689.240234,237390000,20689.240234
2017-04-03,20665.169922,20692.339844,20517.820312,20650.210938,285670000,20650.210938
2017-03-31,20700.339844,20722.589844,20660.679688,20663.220703,303770000,20663.220703
2017-03-30,20662.789062,20753.779297,20643.599609,20728.490234,270900000,20728.490234
2017-03-29,20675.75,20684.730469,20625.029297,20659.320312,238320000,20659.320312
